"scalar1of1Gradient:0","scalar1of1Gradient:1","scalar1of1","Result:0","Result:1","Result:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.00694313417863065,-0.0015892346570563,1303.72932370342,-0.00694313417863065,-0.0015892346570563,0,8567.04568304655,0,0,1.04801919337441e-005,0,0,0,0,-1,6219,59003.03125,67341.5,-2.27107436047251e-013
-0.0072813783726949,-0.0016513531603185,1303.75512118174,-0.0072813783726949,-0.0016513531603185,0,9063.42157471914,0,0,2.94621504641222e-006,0,0,-0,0,-1,6220,58999.5625,67340.5,-2.27107436047251e-013
-0.00740393517540121,-0.0016662483643493,1303.78223519717,-0.00740393517540121,-0.0016662483643493,0,9536.9546723054,0,0,-9.55803708857961e-006,0,-0,0,0,-1,6221,58996.125,67340,-2.27107436047251e-013
-0.00736438551071606,-0.00166781534965561,1303.80914553783,-0.00736438551071606,-0.00166781534965561,0,10002.8238452201,0,0,-5.92484406610459e-006,0,-0,-0,0,-1,6222,58992.6875,67339,-2.27107436047251e-013
-0.00718936758195872,-0.00164393344175954,1303.83577114371,-0.00718936758195872,-0.00164393344175954,0,10471.0519346946,0,0,-1.99554585913624e-005,0,-0,0,0,-1,6223,58989.21875,67338.5,-2.27107436047251e-013
-0.00686324774321923,-0.00152797928040498,1303.86143115804,-0.00686324774321923,-0.00152797928040498,0,10950.4512174431,0,0,1.26265898587271e-005,0,0,-0,0,-1,6224,58985.78125,67337.5,-2.27107436047251e-013
-0.00645764404679459,-0.00130826574361979,1303.88536755877,-0.00645764404679459,-0.00130826574361979,0,11453.2806024406,0,0,2.79151371802539e-006,0,0,0,0,-1,6225,58982.3125,67337,-2.27107436047251e-013
-0.00604107831053229,-0.00099221327799934,1303.90786646044,-0.00604107831053229,-0.00099221327799934,0,11989.8754255819,0,0,-1.61904984497081e-005,0,-0,-0,0,-1,6226,58978.84375,67336,-2.27107436047251e-013
-0.00568585897020405,-0.000557586692988244,1303.92865809025,-0.00568585897020405,-0.000557586692988244,0,12567.3865398241,0,0,1.51302461697566e-006,0,0,-0,0,-1,6227,58975.34375,67335.5,-2.27107436047251e-013
-0.00565031751814294,-0.000511304307683456,1303.93078242234,-0.00565031751814294,-0.000511304307683456,0,12629.6350410137,0,0,-1.85738441336074e-005,0,-0,-0,0,-1,6228,58974.96875,67335.5,-2.27107436047251e-013
-0.00541688164749406,1.27983967415895e-005,1303.95021440451,-0.00541688164749406,1.27983967415895e-005,0,13252.8117987945,0,0,-6.74385219630238e-006,0,0,0,0,-1,6229,58971.4375,67335.5,-2.27107436047251e-013
